card_file,concept_name,section_number,lo_text,confidence,note
052_Related_Rates.pptx,Related Rates,4.1,Find relationships among the derivatives in a given problem.,clear,
053_Linear_Approximation.pptx,Linear Approximation,4.2,Describe the linear approximation to a function at a point.,clear,
054_Differentials.pptx,Differentials,4.2,Draw a graph that illustrates the use of differentials to approximate the change in a quantity.,judgment,"Deck defines the dx/dy notation itself; the only 4.2 objective naming differentials frames them for graphing the approximation, not for the basic definition the card teaches."
055_Newtons_Method.pptx,Newton’s Method,4.9,Describe the steps of Newton's method.,clear,
056_Antiderivatives.pptx,Antiderivatives,4.10,Find the general antiderivative of a given function.,clear,
057_Sigma_Notation.pptx,Sigma Notation,5.1,Use sigma (summation) notation to calculate sums and powers of integers.,clear,
058_Riemann_Sums.pptx,Riemann Sums,5.1,Use Riemann sums to approximate area.,clear,
059_Definite_Integral.pptx,Definite Integral,5.2,State the definition of the definite integral.,clear,
060_Fundamental_Theorem_I.pptx,Fundamental Theorem I,5.3,"State the meaning of the Fundamental Theorem of Calculus, Part 1.",clear,
061_Fundamental_Theorem_II.pptx,Fundamental Theorem II,5.3,"State the meaning of the Fundamental Theorem of Calculus, Part 2.",clear,
062_Indefinite_Integrals.pptx,Indefinite Integrals,4.10,Explain the terms and notation used for an indefinite integral.,judgment,"Deck is filed under the chapter-5 folder but no 5.x objective names indefinite integrals or their constant-of-integration notation; the only objective that does is 4.10, in the antiderivatives section."
063_Net_Change_Theorem.pptx,Net Change Theorem,5.4,Explain the significance of the net change theorem.,clear,
064_Substitution_Rule.pptx,Substitution Rule,5.5,Use substitution to evaluate indefinite integrals.,clear,
065_Average_Value.pptx,Average Value,5.2,Calculate the average value of a function.,clear,
066_Area_Between_Curves.pptx,Area Between Curves,6.1,Determine the area of a region between two curves by integrating with respect to the independent variable.,clear,
067_Volume_By_Slicing.pptx,Volume By Slicing,6.2,Determine the volume of a solid by integrating a cross-section (the slicing method).,clear,
068_Disk_Method.pptx,Disk Method,6.2,Find the volume of a solid of revolution using the disk method.,clear,
069_Washer_Method.pptx,Washer Method,6.2,Find the volume of a solid of revolution with a cavity using the washer method.,clear,
070_Shell_Method.pptx,Shell Method,6.3,Calculate the volume of a solid of revolution by using the method of cylindrical shells.,clear,
071_Arc_Length.pptx,Arc Length,6.4,"Determine the length of a curve, y = f(x), between two points.",clear,
072_Surface_Area.pptx,Surface Area,6.4,Find the surface area of a solid of revolution.,clear,
073_Mass_From_Density.pptx,Mass From Density,6.5,Determine the mass of a one-dimensional object from its linear density function.,clear,
074_Work_Integral.pptx,Work Integral,6.5,Calculate the work done by a variable force acting along a line.,clear,
075_Center_Of_Mass.pptx,Center Of Mass,6.6,Find the center of mass of objects distributed along a line.,clear,
